model,customer_id,sales_transaction_date,sales_amount,channel,dealership_id
Lemon,22178,2011-04-23 19:32:06,399.99,internet,
Lemon,1255,2010-11-06 01:11:19,399.99,internet,
Lemon,2846,2010-07-19 09:42:36,399.99,internet,
Lemon,22138,2010-04-18 13:48:55,399.99,internet,
Lemon,22095,2011-06-10 04:11:20,359.99100000000004,internet,
Lemon,32819,2010-10-04 18:36:11,359.99100000000004,internet,
Lemon,38161,2010-07-11 09:33:59,359.99100000000004,internet,
Lemon,22090,2011-05-20 11:47:26,399.99,internet,
Lemon,22078,2012-06-06 06:55:03,319.992,internet,
Lemon,22075,2010-07-05 22:52:46,399.99,internet,
Lemon,32759,2011-09-25 07:24:05,399.99,internet,
Lemon,22026,2010-10-09 05:04:52,359.99100000000004,internet,
Lemon,32735,2010-06-09 00:58:01,359.99100000000004,internet,
Lemon,32735,2010-05-21 23:19:53,359.99100000000004,internet,
Lemon,22017,2012-04-02 05:10:37,399.99,internet,
Lemon,566,2011-09-11 07:15:01,319.992,internet,
Lemon,21960,2012-05-25 06:18:00,399.99,internet,
Lemon,32696,2012-05-23 11:57:51,399.99,internet,
Lemon,21952,2010-04-09 16:48:29,399.99,internet,
Lemon,21952,2010-05-29 05:47:59,399.99,internet,
Lemon,566,2011-10-19 11:47:48,359.99100000000004,internet,
Lemon,21862,2011-05-07 10:33:01,399.99,internet,
Lemon,21819,2011-07-12 21:22:21,399.99,internet,
Lemon,21768,2010-07-26 00:50:21,319.992,internet,
Lemon,21768,2010-08-15 23:14:27,359.99100000000004,internet,
Lemon,32687,2010-04-02 04:05:11,399.99,internet,
Lemon,32682,2011-07-15 10:50:29,319.992,internet,
Lemon,21764,2012-02-11 22:30:32,399.99,internet,
Lemon,21743,2012-05-16 19:11:43,319.992,internet,
Lemon,22982,2011-07-20 15:49:28,399.99,internet,
Lemon,33280,2010-11-02 01:55:29,319.992,internet,
Lemon,22982,2010-09-18 09:24:00,399.99,internet,
Lemon,38304,2010-09-12 03:08:05,359.99100000000004,internet,
Lemon,22931,2011-02-01 16:52:47,399.99,internet,
Lemon,33241,2011-08-19 09:30:09,399.99,internet,
Lemon,2734,2012-04-11 20:46:33,359.99100000000004,internet,
Lemon,22916,2012-05-16 22:44:35,359.99100000000004,internet,
Lemon,22915,2011-10-27 05:52:37,399.99,internet,
Lemon,22893,2011-03-21 06:18:41,359.99100000000004,internet,
Lemon,33238,2011-09-09 02:38:43,399.99,internet,
Lemon,2741,2011-08-31 21:22:21,399.99,internet,
Lemon,22893,2011-05-13 05:46:10,399.99,internet,
Lemon,42002,2012-04-03 10:28:14,399.99,internet,
Lemon,22748,2011-03-03 03:08:54,399.99,internet,
Lemon,22746,2012-03-25 19:31:37,399.99,internet,
Lemon,33236,2010-08-11 10:31:40,319.992,internet,
Lemon,22740,2011-04-02 15:49:25,399.99,internet,
Lemon,69,2012-05-25 17:14:55,399.99,internet,
Lemon,33207,2011-06-27 05:20:37,319.992,internet,
Lemon,41373,2010-03-24 05:16:57,399.99,internet,
Lemon,33125,2011-10-24 01:38:47,399.99,internet,
Lemon,38268,2011-07-12 16:39:17,399.99,internet,
Lemon,22706,2010-09-01 19:04:07,359.99100000000004,internet,
Lemon,22665,2010-08-07 11:05:37,399.99,internet,
Lemon,33030,2010-06-22 02:28:57,319.992,internet,
Lemon,1220,2011-11-01 12:03:51,319.992,internet,
Lemon,33021,2011-06-10 02:56:26,399.99,internet,
Lemon,2770,2010-08-12 15:14:31,399.99,internet,
Lemon,22659,2012-01-27 05:53:18,399.99,internet,
Lemon,22649,2011-08-29 00:46:58,399.99,internet,
Lemon,22640,2010-04-24 05:35:24,399.99,internet,
Lemon,22628,2010-06-13 10:37:13,399.99,internet,
Lemon,32961,2011-05-13 18:33:47,399.99,internet,
Lemon,22618,2010-10-04 10:15:43,319.992,internet,
Lemon,22600,2011-04-19 13:15:09,399.99,internet,
Lemon,38262,2011-09-19 10:41:38,399.99,internet,
Lemon,2783,2010-06-10 11:59:08,399.99,internet,
Lemon,22591,2010-09-14 12:14:36,399.99,internet,
Lemon,32956,2012-03-24 08:46:12,319.992,internet,
Lemon,38257,2010-08-11 23:32:44,399.99,internet,
Lemon,22584,2010-04-08 05:25:03,359.99100000000004,internet,
Lemon,22578,2011-02-17 09:32:21,399.99,internet,
Lemon,32924,2012-02-06 09:52:53,399.99,internet,
Lemon,32922,2011-08-14 15:57:19,359.99100000000004,internet,
Lemon,1233,2010-06-14 21:02:34,399.99,internet,
Lemon,22549,2010-10-23 23:34:55,399.99,internet,
Lemon,38257,2010-04-06 11:14:32,399.99,internet,
Lemon,38254,2012-05-30 11:17:38,399.99,internet,
Lemon,22528,2010-09-07 14:52:44,399.99,internet,
Lemon,22528,2010-10-09 17:24:00,399.99,internet,
Lemon,22507,2011-10-07 12:03:42,399.99,internet,
Lemon,32916,2010-05-01 09:29:22,399.99,internet,
Lemon,1246,2011-04-12 10:00:10,319.992,internet,
Lemon,38227,2011-09-08 17:02:16,359.99100000000004,internet,
Lemon,38227,2011-08-31 07:50:58,399.99,internet,
Lemon,38219,2011-11-15 16:06:57,359.99100000000004,internet,
Lemon,22502,2011-08-23 03:46:08,399.99,internet,
