model,customer_id,sales_transaction_date,sales_amount,channel,dealership_id
Bat,16825,2017-01-31 00:00:00,539.991,internet,
Bat,11805,2017-09-15 00:00:00,599.99,internet,
Bat,29464,2018-05-10 00:00:00,599.99,internet,
Bat,46153,2018-12-06 00:00:00,599.99,internet,
Bat,28129,2019-03-02 00:00:00,599.99,internet,
Bat,4319,2016-10-10 00:00:00,599.99,internet,
Bat,40250,2016-10-10 00:00:00,599.99,dealership,4
Bat,35497,2016-10-10 00:00:00,599.99,dealership,2
Bat,4553,2016-10-10 00:00:00,599.99,dealership,11
Bat,11678,2016-10-10 00:00:00,599.99,internet,
Bat,45868,2016-10-10 00:00:00,599.99,internet,
Bat,24125,2016-10-10 00:00:00,599.99,dealership,1
Bat,31307,2016-10-10 00:00:00,599.99,internet,
Bat,42213,2016-10-10 00:00:00,599.99,internet,
Bat,47790,2016-10-11 00:00:00,599.99,dealership,20
Bat,6342,2016-10-11 00:00:00,599.99,internet,
Bat,45880,2016-10-11 00:00:00,599.99,dealership,7
Bat,43477,2016-10-11 00:00:00,599.99,internet,
Bat,6322,2016-10-11 00:00:00,599.99,internet,
Bat,46653,2016-10-11 00:00:00,599.99,dealership,6
Bat,9045,2016-10-12 00:00:00,599.99,dealership,19
Bat,23679,2016-10-12 00:00:00,539.991,internet,
Bat,49856,2016-10-12 00:00:00,599.99,dealership,10
Bat,45256,2016-10-12 00:00:00,539.991,dealership,7
Bat,48809,2016-10-12 00:00:00,599.99,internet,
Bat,42625,2016-10-12 00:00:00,599.99,internet,
Bat,39653,2016-10-12 00:00:00,599.99,dealership,7
Bat,49226,2016-10-12 00:00:00,539.991,internet,
Bat,18602,2016-10-12 00:00:00,599.99,internet,
Bat,43013,2016-10-12 00:00:00,599.99,dealership,16
Bat,14298,2016-10-13 00:00:00,599.99,internet,
Bat,13470,2016-10-13 00:00:00,599.99,dealership,15
Bat,17049,2016-10-13 00:00:00,599.99,dealership,5
Bat,35191,2016-10-13 00:00:00,539.991,dealership,7
Bat,22577,2016-10-13 00:00:00,479.992,internet,
Bat,2552,2016-10-13 00:00:00,539.991,dealership,19
Bat,24564,2016-10-13 00:00:00,599.99,dealership,2
Bat,369,2016-10-13 00:00:00,599.99,dealership,1
Bat,21305,2016-10-13 00:00:00,599.99,dealership,19
Bat,11343,2016-10-13 00:00:00,599.99,internet,
Bat,42792,2016-10-14 00:00:00,599.99,dealership,11
Bat,44019,2016-10-14 00:00:00,599.99,internet,
Bat,29392,2016-10-14 00:00:00,539.991,internet,
Bat,48369,2016-10-14 00:00:00,599.99,internet,
Bat,27954,2016-10-14 00:00:00,539.991,internet,
Bat,46831,2016-10-15 00:00:00,599.99,internet,
Bat,32388,2016-10-15 00:00:00,599.99,internet,
Bat,7676,2016-10-15 00:00:00,599.99,dealership,11
Bat,25839,2016-10-15 00:00:00,599.99,internet,
Bat,24165,2016-10-15 00:00:00,599.99,dealership,3
Bat,42665,2016-10-15 00:00:00,599.99,dealership,16
Bat,35986,2016-10-15 00:00:00,599.99,internet,
Bat,46977,2016-10-15 00:00:00,539.991,internet,
Bat,34805,2016-10-15 00:00:00,599.99,dealership,1
Bat,21008,2016-10-15 00:00:00,539.991,dealership,7
Bat,32721,2016-10-16 00:00:00,599.99,dealership,5
Bat,7292,2016-10-16 00:00:00,599.99,internet,
Bat,34681,2016-10-16 00:00:00,539.991,internet,
Bat,5948,2016-10-16 00:00:00,479.992,dealership,19
Bat,46815,2016-10-16 00:00:00,599.99,dealership,12
Bat,36534,2016-10-16 00:00:00,599.99,dealership,7
Bat,18464,2016-10-16 00:00:00,599.99,internet,
Bat,41454,2016-10-16 00:00:00,599.99,dealership,10
Bat,34631,2016-10-16 00:00:00,539.991,dealership,11
Bat,44116,2016-10-16 00:00:00,599.99,dealership,4
Bat,23390,2016-10-16 00:00:00,479.992,dealership,10
Bat,13393,2016-10-16 00:00:00,479.992,dealership,19
Bat,8526,2016-10-16 00:00:00,479.992,dealership,16
Bat,36317,2016-10-16 00:00:00,539.991,internet,
Bat,21477,2016-10-17 00:00:00,599.99,internet,
Bat,36357,2016-10-17 00:00:00,539.991,dealership,10
Bat,10029,2016-10-17 00:00:00,599.99,dealership,1
Bat,47867,2016-10-17 00:00:00,599.99,internet,
Bat,6594,2016-10-17 00:00:00,599.99,internet,
Bat,27908,2016-10-17 00:00:00,539.991,dealership,17
Bat,3636,2016-10-17 00:00:00,479.992,internet,
Bat,25114,2016-10-17 00:00:00,539.991,dealership,12
Bat,18624,2016-10-17 00:00:00,599.99,internet,
Bat,42299,2016-10-18 00:00:00,599.99,dealership,1
Bat,16977,2016-10-18 00:00:00,599.99,internet,
Bat,29733,2016-10-18 00:00:00,599.99,dealership,7
Bat,27413,2016-10-18 00:00:00,599.99,dealership,2
Bat,10967,2016-10-18 00:00:00,599.99,internet,
Bat,38650,2016-10-18 00:00:00,599.99,internet,
Bat,49802,2016-10-18 00:00:00,599.99,dealership,19
Bat,8067,2016-10-18 00:00:00,599.99,internet,
Bat,28546,2016-10-18 00:00:00,599.99,dealership,3
Bat,15346,2016-10-18 00:00:00,599.99,internet,
Bat,28167,2016-10-18 00:00:00,599.99,internet,
Bat,48016,2016-10-19 00:00:00,599.99,internet,
Bat,12076,2016-10-19 00:00:00,599.99,internet,
Bat,6917,2016-10-19 00:00:00,599.99,internet,
Bat,4932,2016-10-19 00:00:00,599.99,dealership,16
Bat,23422,2016-10-19 00:00:00,599.99,internet,
Bat,24045,2016-10-19 00:00:00,599.99,internet,
Bat,44425,2016-10-19 00:00:00,599.99,dealership,16
Bat,48597,2016-10-19 00:00:00,479.992,dealership,5
Bat,14382,2016-10-19 00:00:00,479.992,dealership,1
Bat,37626,2016-10-19 00:00:00,479.992,internet,
